instante,HS10_min,HS10_mean,HS10_max,HS20_min,HS20_mean,HS20_max,HS30_min,HS30_mean,HS30_max,HS40_min,HS40_mean,HS40_max,HS50_min,HS50_mean,HS50_max,HS60_min,HS60_mean,HS60_max,TS30_min,TS30_mean,TS30_max,dendrometro_min,dendrometro_mean,dendrometro_max,litros_arbol_last,litros_intervalo_sum,evento_riego_max,TA_min,TA_mean,TA_max,HA_min,HA_mean,HA_max,radiacion_sum
2023-06-06,0.8157567567567567,0.833885987013433,0.8612859649122807,0.7832,0.8079039371991352,0.8451183121019108,0.7496158146964856,0.7717516675181408,0.8122736842105264,0.7241,0.7377254991206831,0.7454,0.8335,0.8353381282410736,0.8369167464114833,0.8251,0.8256963811054103,0.826651592356688,22.0,22.24874310780432,22.6,38.1075,38.128951698928645,38.15,437.4,46.79999999999996,1.0,15.32,20.591597222222223,26.43,40.81,73.46875,98.2,48119.159999999996
2023-06-07,0.8217130781499202,0.8359187412248448,0.8581,0.7956,0.8120006059438731,0.8434278219395867,0.7616,0.7751194250718778,0.8143680445151034,0.7346,0.7451857093758241,0.765085326953748,0.8335,0.8358560548514781,0.839,0.8242529505582138,0.8253762488836789,0.8267,22.0,22.303739597336644,22.6,38.125,38.15108225357132,38.18,484.0,46.60000000000002,1.0,17.06,18.944166666666668,21.55,71.3,88.58888888888889,99.2,11966.67
2023-06-08,0.8046,0.8218844662456565,0.8384705414012739,0.781,0.7965338996333062,0.8149842356687899,0.752,0.7632318466278211,0.7778705414012739,0.7311,0.7404969786519682,0.7538,0.8315869426751592,0.8341597746640846,0.8378226114649682,0.8231869426751592,0.8247241733857089,0.826413694267516,21.6,22.024265328226317,22.2,38.175,38.1836676407635,38.195,484.0,0.0,0.0,15.5,20.11951388888889,24.86,58.89,82.755625,99.3,29360.73
2023-06-09,0.7933998410174881,0.8199375193333256,0.8616950558213716,0.7688440191387559,0.7958158461134579,0.8486950558213716,0.7365,0.7606153786927669,0.818609872611465,0.7163,0.7387609736169464,0.7905636363636364,0.8279,0.8312589267207566,0.8356,0.8214576433121019,0.8222762376854877,0.8231955342902711,22.0,22.398096349995654,23.2,38.1575,38.18124792862288,38.21,524.0,40.0,1.0,16.81,23.22715277777778,30.93,31.29,68.18048611111111,98.2,46853.31
2023-06-10,0.8087360189573459,0.8343338295005808,0.8656316878980892,0.7768322169059012,0.8065058571744972,0.8521,0.7416336523125997,0.7676398804167621,0.8184154458598726,0.7226055643879173,0.7468633983019459,0.7741928229665072,0.8281,0.8316515385108505,0.8349,0.8218,0.8225365214985021,0.8242,23.0,23.33125382004761,24.0,38.14,38.15552666729243,38.17,570.8,46.799999999999955,1.0,19.10333333333333,25.253541666666663,31.92,33.07,52.534166666666664,79.0,45551.55
2023-06-11,0.8162730462519936,0.8360906867993649,0.8641622009569377,0.7816117834394904,0.8087536138379414,0.8499,0.7450721780604134,0.7698253043087601,0.8145641148325359,0.7264,0.7449446864738002,0.7551430842607313,0.8302,0.8329388458719872,0.8351,0.8232,0.8239519845261916,0.8253,23.2,23.570224922851263,24.0,38.15,38.16641084972209,38.182085987261146,617.2,46.40000000000009,1.0,17.42,23.490069444444444,29.52,31.49,60.68027777777778,88.4,44494.83
2023-06-12,0.8173105095541401,0.838035411829952,0.8673447452229299,0.7857367834394904,0.8121035072525391,0.8541,0.7496765550239235,0.7732689948496945,0.8203754385964912,0.7264,0.7441744142876832,0.7606,0.8314858054226475,0.8343149544103828,0.8377,0.8242,0.825000477388672,0.8265,23.4,23.669357274696907,24.11687898089172,38.165,38.19793441618938,38.2125,662.6,45.39999999999998,1.0,19.29,22.60666666666667,27.36,54.13,77.66736111111112,95.6,36776.07
2023-06-13,0.8188820063694268,0.8424992678066491,0.8702627388535031,0.7856690590111642,0.8151197137407344,0.8556,0.7495296703296703,0.7750691697388407,0.8205853503184714,0.7276213375796179,0.7461528811180059,0.7595,0.833,0.8358224393810355,0.8388,0.8251,0.8259618149157583,0.8274,23.6,23.996914327762404,24.4,38.1975,38.22771717436218,38.2525,709.2,46.60000000000002,1.0,17.47,21.90361111111111,29.07,41.14,79.16548611111111,96.3,35940.99
2023-06-14,0.794,0.82160944721338,0.8458767885532591,0.7778,0.7972646529632254,0.8235767885532591,0.7447,0.7620332836888725,0.7831,0.7227704944178628,0.7377829857842527,0.7542767885532591,0.833,0.8354847901996281,0.8387767885532591,0.8256,0.8263000461870633,0.8272,23.4,23.886370078915395,24.4,38.215,38.23668509293877,38.255,709.2,0.0,0.0,16.61,22.64090277777778,29.58,33.16,60.58937499999999,93.0,46132.71
2023-06-15,0.7741410828025478,0.8145785546252486,0.876264114832536,0.7626020700636942,0.7972367772866809,0.863,0.72973668261563,0.7606256521431835,0.8288985668789809,0.705866985645933,0.7353264513296852,0.8160243243243243,0.8294020733652313,0.8362982453511296,0.8525,0.8242,0.8254576681328964,0.8279,23.4,23.942046292418194,24.6,38.2175,38.23031221412128,38.2475,756.4,47.19999999999993,1.0,16.33,23.753819444444442,32.23,31.49,60.91097222222223,91.5,48316.17
2023-06-16,0.8124165605095542,0.8383756988249297,0.8694992025518342,0.7756,0.8079994510330858,0.8565732484076434,0.7376350318471337,0.7679599053471345,0.8241073365231261,0.7086223285486444,0.7389892915329912,0.7702921974522293,0.8316,0.8368211436746009,0.8413020700636943,0.8251,0.8257878395789422,0.8267,24.0,24.338270526533613,24.6,38.22163216560509,38.24283507531409,38.26,785.8,29.399999999999977,1.0,17.17,23.95041666666667,31.18,34.33,59.506527777777784,85.2,47425.23
2023-06-17,0.8040977707006369,0.8362712449958203,0.8718,0.7741133545310016,0.8068845983407519,0.8572830940988836,0.7378295055821372,0.7685620806770721,0.8187939393939394,0.7078656050955414,0.732938730878729,0.7470324840764331,0.83,0.8334482402845516,0.837,0.8253,0.8258531412469663,0.8263,24.2,24.569798949162564,25.0,38.2275,38.24471241064727,38.26401116427432,792.6,6.800000000000068,1.0,16.9,24.53347222222222,31.53,25.67,52.49736111111111,80.7,48465.12
